"How well do your colleagues at school understand you as a person?","How connected do you feel to other adults at your school?","How respected do you feel around other colleagues at your school?","Overall, how much do you feel like you are accepted at your school?","How easy is it to interact with students at your school who have different backgrounds from your own?","If students with different backgrounds struggled to get along in your class, how comfortable would you be intervening?","How comfortable would you be having conversations about race and gender with your students?","When a sensitive issue of diversity arises in class, how easily can you use strategies to address the situation?","How confident are you that you can - engage students who struggle with motivation","How confident are you that you can - help your school's most challenging students to learn","How confident are you that you can - support your students' growth in developing empathy?","How confident are you that you can - support your students' growth in developing self-awareness?","How confident are you that you can - support your students' growth in developing self-management?","How often do you see students helping each other without being prompted?","How respectful are the relationships between staff and students?","How supportive are the attitudes of your colleagues towards each other?","Overall, how supportive is the working environment at your school?"
1,0.807140338879339,0.6542014086005,0.668813571823481,-0.0286938397968283,0.0794281426085339,-0.0913951586157783,0.0238196533670165,0.0974853133742852,0.0767355707169441,-0.0426164740251844,-0.0152060700148926,-0.00307385983767296,0.11905552877353,0.326624093292775,0.512103107171069,0.553320426886346
0.807140338879339,1,0.632155361573503,0.682394207214744,0.0220905757300624,0.174987759505962,-0.070669170180081,0.029708746497681,0.19865776779398,0.183477540822292,-0.03944277580685,0.0511257552685199,0.0321220258933561,0.14406708264131,0.350887875981992,0.504181316648976,0.555283954950006
0.6542014086005,0.632155361573503,1,0.849814572086998,0.0786846741245704,0.10296047172772,0.0596454869576602,0.113517456050236,0.0560528859838492,0.104746052099395,-0.0956580762614511,0.00607975377982148,-0.0223161134343703,0.0550042418989895,0.26943231881202,0.647626034509902,0.710973180624566
0.668813571823481,0.682394207214744,0.849814572086998,1,0.0624115929342428,0.110076244072181,0.112302812546644,0.100201211696041,0.0546602867345126,0.110520076531032,-0.0682143731306011,-0.0325052874606767,-0.0905474852916728,0.0553721554515646,0.304918185987773,0.63380310207892,0.732436216606222
-0.0286938397968283,0.0220905757300624,0.0786846741245704,0.0624115929342428,1,0.45621852209367,0.363287899304708,0.405814657401685,0.212857721295479,0.137054683614386,0.179730575291698,0.191694700904169,0.252557597770146,0.189124925449341,0.0876291294528992,0.0313115613187065,-0.020447506867547
0.0794281426085339,0.174987759505962,0.10296047172772,0.110076244072181,0.45621852209367,1,0.481919607241475,0.592180608075147,0.357075830062655,0.289936891159953,0.421990106251039,0.360549440248939,0.344289500985551,0.0456891475647483,0.109376299579038,0.0765125064069896,0.0588653105712881
-0.0913951586157783,-0.070669170180081,0.0596454869576602,0.112302812546644,0.363287899304708,0.481919607241475,1,0.690302215078049,0.0756108108930394,0.0647746453155372,0.289860733010688,0.265417997687821,0.230483018988593,0.0475342572740177,-0.0513905451991773,0.0188060637119925,-0.00824418622047058
0.0238196533670165,0.029708746497681,0.113517456050236,0.100201211696041,0.405814657401685,0.592180608075147,0.690302215078049,1,0.298025772162127,0.264466993537645,0.498249647811305,0.432832963611046,0.364718536488965,0.164714507685153,0.1244811629368,0.0898409142707547,0.0499238665504636
0.0974853133742852,0.19865776779398,0.0560528859838492,0.0546602867345126,0.212857721295479,0.357075830062655,0.0756108108930394,0.298025772162127,1,0.653523762777164,0.554564609613769,0.500101023869116,0.472554645528884,0.208838464076324,0.192122629795182,-0.0103330586806098,0.0547924303043759
0.0767355707169441,0.183477540822292,0.104746052099395,0.110520076531032,0.137054683614386,0.289936891159953,0.0647746453155372,0.264466993537645,0.653523762777164,1,0.435399564774577,0.477126615706797,0.469650957002601,0.108919526216188,0.144792693425274,0.00163537108485972,0.0541985914811431
-0.0426164740251844,-0.03944277580685,-0.0956580762614511,-0.0682143731306011,0.179730575291698,0.421990106251039,0.289860733010688,0.498249647811305,0.554564609613769,0.435399564774577,1,0.778498944161523,0.577151248451608,0.092954745037787,0.110428566356634,-0.0410521149659226,-0.0607378204848638
-0.0152060700148926,0.0511257552685199,0.00607975377982148,-0.0325052874606767,0.191694700904169,0.360549440248939,0.265417997687821,0.432832963611046,0.500101023869116,0.477126615706797,0.778498944161523,1,0.728451910108305,0.125418938577729,0.212772092726927,-0.0503521146737598,0.0281735794328909
-0.00307385983767296,0.0321220258933561,-0.0223161134343703,-0.0905474852916728,0.252557597770146,0.344289500985551,0.230483018988593,0.364718536488965,0.472554645528884,0.469650957002601,0.577151248451608,0.728451910108305,1,0.10653426032546,0.160438669845763,-0.0402514343736086,0.00438092430889241
0.11905552877353,0.14406708264131,0.0550042418989895,0.0553721554515646,0.189124925449341,0.0456891475647483,0.0475342572740177,0.164714507685153,0.208838464076324,0.108919526216188,0.092954745037787,0.125418938577729,0.10653426032546,1,0.306179266258793,0.180543049465269,0.145440201567602
0.326624093292775,0.350887875981992,0.26943231881202,0.304918185987773,0.0876291294528992,0.109376299579038,-0.0513905451991773,0.1244811629368,0.192122629795182,0.144792693425274,0.110428566356634,0.212772092726927,0.160438669845763,0.306179266258793,1,0.456219917204518,0.512778221775156
0.512103107171069,0.504181316648976,0.647626034509902,0.63380310207892,0.0313115613187065,0.0765125064069896,0.0188060637119925,0.0898409142707547,-0.0103330586806098,0.00163537108485972,-0.0410521149659226,-0.0503521146737598,-0.0402514343736086,0.180543049465269,0.456219917204518,1,0.817684605999004
0.553320426886346,0.555283954950006,0.710973180624566,0.732436216606222,-0.020447506867547,0.0588653105712881,-0.00824418622047058,0.0499238665504636,0.0547924303043759,0.0541985914811431,-0.0607378204848638,0.0281735794328909,0.00438092430889241,0.145440201567602,0.512778221775156,0.817684605999004,1
